"setting","mech","n","cens","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"C","C3",600,0.6,"KM de-censoring",100,0.97568,0.000905050922168014,0.97725,1,0,0.07568,0.193954609243017,0.928579059059059,NA,0.00905050922168014,NA,NA,NA
"B","C2",1200,0.6,"KM de-censoring",100,0.95796,0.00102845083067258,0.9585,1,0,0.05796,0.34803352675262,0.938982008696537,NA,0.0102845083067258,NA,NA,NA
"C","C2",1200,0.6,"KM de-censoring",100,0.958615,0.000785405222567538,0.96,1,0,0.058615,0.372935235387031,0.916951004559601,NA,0.00785405222567538,NA,NA,NA
"B","C3",1200,0.6,"KM de-censoring",100,0.953685,0.00101607421883533,0.955,1,0,0.053685,0.350652370059583,0.917771320569871,NA,0.0101607421883533,NA,NA,NA
"C","C3",1200,0.6,"KM de-censoring",100,0.974605,0.000637795089160756,0.975,1,0,0.074605,0.231201406461555,0.9274,NA,0.00637795089160756,NA,NA,NA
"B","C2",600,0.8,"KM de-censoring",100,0.98302,0.000895722720443772,0.9845,1,0,0.08302,0.245434134009337,0.964009195244323,NA,0.00895722720443772,NA,NA,NA
"C","C2",600,0.8,"KM de-censoring",100,0.976995,0.000848989149375642,0.978,1,0,0.076995,0.104888670255529,0.925559199199199,NA,0.00848989149375642,NA,NA,NA
"B","C3",600,0.8,"KM de-censoring",100,0.971705,0.00105526804962799,0.973,1,0,0.071705,0.269772108836263,0.937126781103703,NA,0.0105526804962799,NA,NA,NA
"C","C3",600,0.8,"KM de-censoring",100,0.984365,0.000620437081191294,0.985,1,0,0.084365,0,0.94136,NA,0.00620437081191294,NA,NA,NA
"B","C2",1200,0.8,"KM de-censoring",100,0.984175,0.000536090175966392,0.985,1,0,0.084175,0.248315547541965,0.967237147950685,NA,0.00536090175966392,NA,NA,NA
"C","C2",1200,0.8,"KM de-censoring",100,0.976395,0.000545564993026644,0.9765,1,0,0.076395,0.142616806024998,0.92258,NA,0.00545564993026644,NA,NA,NA
"B","C3",1200,0.8,"KM de-censoring",100,0.97121,0.000792935347078478,0.972,1,0,0.07121,0.279335288884591,0.938949677970168,NA,0.00792935347078478,NA,NA,NA
"C","C3",1200,0.8,"KM de-censoring",100,0.984615,0.000458580098860284,0.9845,1,0,0.084615,0,0.9427,NA,0.00458580098860284,NA,NA,NA
"B","C2",600,0.6,"Oracle",100,0.900635,0.000710201813685108,0.90025,0.54,0.00254500000000001,0.005725,0.584743363783701,0.885572251889457,NA,0.00710201813685109,NA,NA,NA
"C","C2",600,0.6,"Oracle",99,0.900681818181818,0.000715851622133441,0.9005,0.545454545454545,0.00253030303030304,0.00574242424242425,0.565118693313392,0.886554519125089,NA,0.00712263370855169,NA,NA,NA
"B","C3",600,0.6,"Oracle",100,0.900635,0.000710201813685108,0.90025,0.54,0.00254500000000001,0.005725,0.584743363783701,0.886020438227194,NA,0.00710201813685109,NA,NA,NA
"C","C3",600,0.6,"Oracle",100,0.900635,0.000710201813685108,0.90025,0.54,0.00254500000000001,0.005725,0.564601833403486,0.886569986212242,NA,0.00710201813685109,NA,NA,NA
