"rep","setting","mech","n","cens","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
12,"B","C2",600,0.6,"Clip-AIPCW",0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,4.26224197112649,4.74993368151054,82.4518239948957,1.38520237147298,0.1
12,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9285,0,0.0285,0.447373532276442,0.403488037770361,-0.893593547717749,0.89,NA,NA,NA,NA,NA
12,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9265,0,0.0265,0.451821376671447,0.407603634767894,-0.882416635630012,0.884,NA,NA,NA,NA,NA
12,"B","C2",600,0.6,"KM de-censoring",NA,0.934,0,0.034,0.442151496677669,0.393861753825375,-0.91582537289141,0.906,NA,NA,NA,NA,NA
12,"B","C2",600,0.6,"Oracle",NA,0.899,0.001,0.001,1.76647782866163,0.56516992322326,-0.436586260044011,0.88,NA,NA,NA,NA,NA
13,"B","C2",600,0.6,"H-IPCW",0.09,0.955,0,0.0549999999999999,0.345989369665155,0.327255091065435,-1.11431564043865,0.91,17.0462521080597,19.5687179612124,47.6493441828535,2.01337671786576,NA
13,"B","C2",600,0.6,"Clip-IPCW",0.08,0.9645,0,0.0645,0.321899997796195,0.304470085872024,-1.18648276005476,0.928,2.81528790946827,4.01657907744851,84.8082790987581,1.35556959600395,0.106382978723404
13,"B","C2",600,0.6,"H-AIPCW",0.01,1,0,0.1,0.0931784255213223,0.0881330954151139,-2.42620748244144,1,17.0462521080597,19.5687179612124,47.6493441828535,2.01337671786576,NA
13,"B","C2",600,0.6,"Clip-AIPCW",0.08,0.9645,0,0.0645,0.321899997796195,0.304470085872024,-1.18648276005476,0.928,2.81528790946827,4.01657907744851,84.8082790987581,1.35556959600395,0.106382978723404
13,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9695,0,0.0695,0.355163780474273,0.321514670080516,-1.16328406550214,0.962,NA,NA,NA,NA,NA
13,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.952,0,0.0519999999999999,0.385817354293332,0.355703619928668,-1.0335461476778,0.914,NA,NA,NA,NA,NA
13,"B","C2",600,0.6,"KM de-censoring",NA,0.965,0,0.0649999999999999,0.369018517985499,0.333815248686053,-1.11727489456514,0.954,NA,NA,NA,NA,NA
13,"B","C2",600,0.6,"Oracle",NA,0.9005,0,0.000499999999999945,1.47475513713915,0.61342568580876,-0.409709614786273,0.89,NA,NA,NA,NA,NA
14,"B","C2",600,0.6,"H-IPCW",0.11,0.924,0,0.024,0.440714404129627,0.409946255507843,-0.906847211383711,0.874,36.914413029783,36.4599490041586,28.2983568104654,2.74086834885953,NA
14,"B","C2",600,0.6,"Clip-IPCW",0.1,0.9355,0,0.0355,0.415996224399154,0.386953757126744,-0.964568083100938,0.886,3.31196323425627,4.36692842898514,84.9559984040723,1.35374582640895,0.104166666666667
14,"B","C2",600,0.6,"H-AIPCW",0.11,0.924,0,0.024,0.440714404129627,0.409946255507843,-0.906847211383711,0.874,36.914413029783,36.4599490041586,28.2983568104654,2.74086834885953,NA
14,"B","C2",600,0.6,"Clip-AIPCW",0.1,0.9355,0,0.0355,0.415996224399154,0.386953757126744,-0.964568083100938,0.886,3.31196323425627,4.36692842898514,84.9559984040723,1.35374582640895,0.104166666666667
14,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.935,0,0.035,0.435410248680064,0.404197604832708,-0.934788089045552,0.902,NA,NA,NA,NA,NA
14,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.924,0,0.024,0.446397344739858,0.420710908531721,-0.894528763598159,0.88,NA,NA,NA,NA,NA
14,"B","C2",600,0.6,"KM de-censoring",NA,0.934,0,0.034,0.441941641633229,0.401457947578044,-0.933763767747237,0.904,NA,NA,NA,NA,NA
14,"B","C2",600,0.6,"Oracle",NA,0.8985,0.00150000000000006,0.00150000000000006,1.5233411030919,0.588622970502468,-0.436499428630241,0.885395537525355,NA,NA,NA,NA,NA
15,"B","C2",600,0.6,"H-IPCW",0.49,0.566,0.334,0.334,1.15308308637796,1.08811879891769,0.0901144462788801,0.398,4399.7329642493,206.572457567267,1.3383605029846,13.3817041644928,NA
15,"B","C2",600,0.6,"Clip-IPCW",0.14,0.8875,0.0125000000000001,0.0125000000000001,0.516578061166048,0.487474238503387,-0.712853720411909,0.786,7.25929792560186,7.67167793742307,57.4620101784251,1.78604704775907,0.10752688172043
15,"B","C2",600,0.6,"H-AIPCW",0.01,0.999,0,0.099,0.120735644573192,0.113933441667423,-2.16647673248988,0.998,4399.7329642493,206.572457567267,1.3383605029846,13.3817041644928,NA
15,"B","C2",600,0.6,"Clip-AIPCW",0.1,0.9315,0,0.0315,0.42611367610401,0.402106584444964,-0.905373976445829,0.872,7.25929792560186,7.67167793742307,57.4620101784251,1.78604704775907,0.10752688172043
15,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9345,0,0.0345,0.437082416245673,0.410864438706877,-0.900422481451522,0.898,NA,NA,NA,NA,NA
15,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.918,0,0.018,0.467372161899487,0.440266629513815,-0.824900269935095,0.856,NA,NA,NA,NA,NA
15,"B","C2",600,0.6,"KM de-censoring",NA,0.9475,0,0.0475,0.417772857461871,0.383231554618209,-0.968525685763188,0.924,NA,NA,NA,NA,NA
15,"B","C2",600,0.6,"Oracle",NA,0.9065,0,0.00649999999999995,1.5680692177312,0.589364609647792,-0.424417898922966,0.894,NA,NA,NA,NA,NA
16,"B","C2",600,0.6,"H-IPCW",0.12,0.9155,0,0.0155,0.486311861067532,0.426298824014137,-0.842466065773502,0.892,12.7340086853674,15.3500685507318,50.667222758275,1.93711776145656,NA
16,"B","C2",600,0.6,"Clip-IPCW",0.09,0.9435,0,0.0435,0.409820409615657,0.359246756376945,-1.01359713490916,0.928,3.255727297127,4.6938576346324,77.241585974911,1.45463088318628,0.103448275862069
16,"B","C2",600,0.6,"H-AIPCW",0.12,0.9155,0,0.0155,0.486311861067532,0.426298824014137,-0.842466065773502,0.892,12.7340086853674,15.3500685507318,50.667222758275,1.93711776145656,NA
16,"B","C2",600,0.6,"Clip-AIPCW",0.11,0.9255,0,0.0255,0.461635594677577,0.404667718163654,-0.894540349577897,0.908,3.255727297127,4.6938576346324,77.241585974911,1.45463088318628,0.103448275862069
16,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9665,0,0.0665,0.353129591776636,0.314570876328758,-1.25569147523548,0.945788964181994,NA,NA,NA,NA,NA
16,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9285,0,0.0285,0.458304170762828,0.396008657396599,-0.912418581387333,0.910939012584705,NA,NA,NA,NA,NA
16,"B","C2",600,0.6,"KM de-censoring",NA,0.955,0,0.0549999999999999,0.40511462213585,0.338343044379356,-1.10577830020757,0.932236205227493,NA,NA,NA,NA,NA
16,"B","C2",600,0.6,"Oracle",NA,0.8955,0.00450000000000006,0.00450000000000006,1.35593057384623,0.570640501171629,-0.456592493977072,0.882,NA,NA,NA,NA,NA
17,"B","C2",600,0.6,"H-IPCW",0.04,0.9925,0,0.0925,0.233885841734954,0.214233808943708,-1.54195197192292,0.988,23.0455625878117,24.1700577424643,36.3994972023762,2.37000030087202,NA
17,"B","C2",600,0.6,"Clip-IPCW",0.08,0.966,0,0.0659999999999999,0.355871853178979,0.325970063159213,-1.12221440933731,0.953422053231939,3.73311955757144,4.89937330414171,79.5595327267232,1.42304134287125,0.104166666666667
17,"B","C2",600,0.6,"H-AIPCW",0.07,0.9735,0,0.0735,0.327982133755321,0.300423750572782,-1.2038259757643,0.963878326996198,23.0455625878117,24.1700577424643,36.3994972023762,2.37000030087202,NA
17,"B","C2",600,0.6,"Clip-AIPCW",0.09,0.958,0,0.0579999999999999,0.382586759904768,0.35044027555423,-1.0498296615802,0.942965779467681,3.73311955757144,4.89937330414171,79.5595327267232,1.42304134287125,0.104166666666667
17,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.966,0,0.0659999999999999,0.383334812761823,0.345849794192971,-1.10175084815521,0.950570342205323,NA,NA,NA,NA,NA
17,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.9445,0,0.0445,0.43136270978524,0.396820649030526,-0.938410314852948,0.922,NA,NA,NA,NA,NA
17,"B","C2",600,0.6,"KM de-censoring",NA,0.965,0,0.0649999999999999,0.389004544197143,0.345849794192971,-1.09644083108211,0.948669201520912,NA,NA,NA,NA,NA
17,"B","C2",600,0.6,"Oracle",NA,0.8965,0.00350000000000006,0.00350000000000006,2.08000631097423,0.602466412406829,-0.416256034564642,0.862,NA,NA,NA,NA,NA
18,"B","C2",600,0.6,"H-IPCW",0.09,0.929,0,0.029,0.442444979967313,0.40192595033922,-0.897875996956117,0.878,125.544642584855,82.5533381068826,7.66058551587076,5.51870440906553,NA
18,"B","C2",600,0.6,"Clip-IPCW",0.08,0.9415,0,0.0415,0.414017782450711,0.376102110325972,-0.964283188934073,0.898,3.9346845477174,4.95618650422695,80.3257176237198,1.41285258247816,0.102040816326531
18,"B","C2",600,0.6,"H-AIPCW",0.01,0.9995,0,0.0995,0.132307832048589,0.120191105202232,-2.10506084608984,0.998,125.544642584855,82.5533381068826,7.66058551587076,5.51870440906553,NA
18,"B","C2",600,0.6,"Clip-AIPCW",0.06,0.9625,0,0.0625,0.352507961377194,0.320225347316942,-1.12511890715195,0.934,3.9346845477174,4.95618650422695,80.3257176237198,1.41285258247816,0.102040816326531
18,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9305,0,0.0305,0.440516185604587,0.409170205672239,-0.899431060090553,0.888,NA,NA,NA,NA,NA
