"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"A","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.916855,0.00937874045246735,0.92675,0.8968,0.90655,0.93,0.99,0.02,0.009585,0.036025,0.235542260143788,0.901330050588005,0.0173132167648729,0.0937874045246735,3.47503826428257,163.823419996854,0.102352968048549,3.47503826428257,0.725843895460858,NA
"B","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.93292,0.00144808686050097,0.9325,0.909875,0.91395,0.98,1,0.02,1.00000000000011e-05,0.03294,0.391042639290595,0.898050857315571,0.0143586808994321,0.0144808686050097,3.64381426765787,162.706962398466,0.107352215863552,3.64381426765787,0.76367962738857,NA
"C","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.910935,0.00938589274260885,0.91975,0.888925,0.8934,0.81,0.99,0.02,0.010305,0.031545,0.47581101362095,0.878839267627365,0.0212771514004383,0.0938589274260885,3.48579223781703,165.247765713882,0.109451704137873,3.48579223781703,0.768195858740403,NA
"A","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.91506,0.0131593444925934,0.93575,0.89615,0.905,0.93,0.98,0.02,0.01838,0.05182,0.217250250884177,0.900616697345037,0.0186566531583429,0.131593444925934,2.99878872864329,165.769874619269,0.104805427676891,2.99878872864329,0.630002034063778,NA
"B","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.931025,0.00172067603287226,0.93475,0.899475,0.911,0.94,0.98,0.02,0.000715000000000002,0.032455,0.385136950513592,0.909276758806021,0.0145657686430074,0.0172067603287226,3.16702690242961,164.548685771593,0.108448959002137,3.16702690242961,0.663598778944461,NA
"C","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.92501,0.00169906361614778,0.92525,0.8995,0.90345,0.94,1,0.02,0.000275000000000003,0.02556,0.454983821185238,0.892713977837003,0.018004208262279,0.0169906361614778,3.15301401674967,164.30076126421,0.109296169206987,3.15301401674967,0.662078346104884,NA
"A","C1",300,0.8,"weibull_cox","Clip-AIPCW",100,0.94686,0.00350735216251793,0.9535,0.894075,0.9105,0.93,0.95,0.02,0.002995,0.05285,0.172624993547794,0.927483707764785,0.0354303984074852,0.0350735216251793,4.22991220580258,19.3923049195526,0.134250558579616,4.31213043825708,0.412063163085177,NA
"B","C1",300,0.8,"weibull_cox","Clip-AIPCW",100,0.94615,0.00365237227460773,0.95375,0.89265,0.9085,0.93,0.95,0.02,0.003085,0.05232,0.319396031861162,0.911397896692972,0.0293147323943702,0.0365237227460773,4.63053897329742,19.0926844113891,0.146805353580414,4.80022589083283,0.444030067734856,NA
"C","C1",300,0.8,"weibull_cox","Clip-AIPCW",100,0.934975,0.00569099224009027,0.952,0.80235,0.84195,0.81,0.85,0.02,0.012455,0.059885,0.353930041053569,0.886820415361411,0.0398191619269625,0.0569099224009027,4.81071412164056,18.5542935404742,0.136573402056774,4.91910655927397,0.439605429011941,NA
"A","C2",300,0.8,"weibull_cox","Clip-AIPCW",100,0.939685,0.0041478584896914,0.94975,0.866925,0.90085,0.9,0.91,0.02,0.00542,0.050525,0.179195575606298,0.916811348109417,0.038582981541691,0.041478584896914,5.86722761666343,18.4937091073737,0.140018414374202,5.90390734228601,0.540143100500782,NA
"B","C2",300,0.8,"weibull_cox","Clip-AIPCW",100,0.957735,0.00296980133165418,0.966,0.903775,0.9191,0.95,0.98,0.02,0.001285,0.060305,0.302266049079368,0.931541439861935,0.0357143549782878,0.0296980133165418,6.22273371633073,18.4921621477884,0.146148295503841,6.4222770407412,0.577469415779567,NA
"C","C2",300,0.8,"weibull_cox","Clip-AIPCW",100,0.932115,0.00480864570173854,0.941,0.845525,0.85875,0.8,0.86,0.02,0.00904000000000001,0.050195,0.389574085933264,0.888867764668434,0.041472395589833,0.0480864570173854,6.39755569603378,17.8194806027583,0.157062364220898,6.46056680262055,0.591113860555265,NA
"A","C3",300,0.8,"weibull_cox","Clip-AIPCW",100,0.947525,0.0037388985508753,0.9545,0.881925,0.9013,0.9,0.96,0.02,0.00335,0.054225,0.171314344527548,0.928362172218166,0.0353160335006951,0.0373889855087529,4.27232500311773,19.472790237309,0.133896880101076,4.3353568418361,0.399521320300344,NA
"B","C3",300,0.8,"weibull_cox","Clip-AIPCW",100,0.95376,0.00382424799500147,0.96475,0.8925,0.91305,0.94,0.95,0.02,0.00342,0.0606,0.297783320371792,0.923120370545799,0.0288729365435257,0.0382424799500147,4.5381702699388,18.9190834570673,0.140755218373932,4.72103661026394,0.422981716719496,NA
"C","C3",300,0.8,"weibull_cox","Clip-AIPCW",100,0.93543,0.00550892764867935,0.95075,0.814875,0.82835,0.82,0.84,0.02,0.012215,0.05986,0.354484471876723,0.886112633641144,0.0376453412412707,0.0550892764867935,4.88600677502076,18.4360509497426,0.125812228440693,4.98486807040557,0.426993561774526,NA
"A","C1",600,0.8,"weibull_cox","Clip-AIPCW",100,0.941155,0.00264216676271961,0.942,0.8892,0.9064,0.94,0.97,0.02,0.00136,0.043875,0.197241329462433,0.924287367383617,0.0244280018160977,0.0264216676271961,4.65640647234126,37.3790578061735,0.123412820457771,4.65640647234126,0.425942357099917,NA
"B","C1",600,0.8,"weibull_cox","Clip-AIPCW",100,0.944135,0.00242024140001435,0.94325,0.90875,0.91885,0.96,0.97,0.02,0.001125,0.046385,0.344596801461224,0.919422243243728,0.0228024010786034,0.0242024140001435,5.19145262633046,37.653284828813,0.12131764225481,5.22333227410192,0.482268318762353,NA
"C","C1",600,0.8,"weibull_cox","Clip-AIPCW",100,0.93778,0.00332576656311342,0.9455,0.875825,0.89365,0.84,0.93,0.02,0.003105,0.04399,0.394893730014865,0.905645884264775,0.0286215289457415,0.0332576656311342,5.1014712619535,36.8386957972628,0.117573372201031,5.1014712619535,0.457365200597317,NA
"A","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.936655,0.00291010686568328,0.942,0.88845,0.90595,0.92,0.95,0.02,0.00252,0.041695,0.199821638665721,0.918227847742656,0.0265938399489867,0.0291010686568328,6.02137465615807,36.6972088661523,0.109379550106444,6.06150968698558,0.537167321395366,NA
"B","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.94917,0.00255038341344112,0.95375,0.921275,0.925,0.97,0.99,0.02,0.001255,0.05168,0.341406432154092,0.920355156470605,0.0302973479520781,0.0255038341344112,6.49019112356974,36.2044853460339,0.124451618191088,6.49019112356974,0.57853737450094,NA
"C","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.926265,0.00357439304023223,0.92825,0.868375,0.87735,0.76,0.88,0.02,0.00522500000000001,0.036715,0.442910643845689,0.888805179279401,0.0332512626022902,0.0357439304023223,6.61710248239569,35.710092643435,0.118339732056403,6.61710248239569,0.586347098304829,NA
"A","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.94416,0.00235412682991234,0.948,0.90095,0.9102,0.96,1,0.02,0.000470000000000003,0.0451,0.182858539980585,0.927675663977716,0.0229296244358183,0.0235412682991234,4.57615528785979,37.5539767985289,0.122751550671193,4.57615528785979,0.412204994962844,NA
"B","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.950905,0.00222459501478314,0.9495,0.9114,0.9271,0.99,0.99,0.02,0.000295,0.051495,0.332826945829101,0.928754514900854,0.023802851879045,0.0222459501478314,5.07801248732296,37.2317926302582,0.121486372668152,5.11983876550166,0.460192653721339,NA
"C","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.92835,0.0097496814244768,0.947,0.87795,0.89245,0.84,0.94,0.02,0.011775,0.0519,0.390697328132013,0.894528475687843,0.0271516504325634,0.097496814244768,5.06136623575935,36.5352874933166,0.117558733248037,5.06136623575935,0.442842499350992,NA
"A","C1",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.949615,0.00190313212065975,0.951,0.916975,0.92245,0.98,1,0.02,1.50000000000006e-05,0.049645,0.182851292597563,0.935924910604984,0.0177877497285081,0.0190313212065975,4.73630178505698,74.4248495742751,0.108716630367421,4.73630178505698,0.424199201458274,NA
"B","C1",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.9457,0.00150021883925531,0.94775,0.920975,0.92995,0.99,1,0.02,0.00015,0.046,0.345553603276892,0.925842912754584,0.0138078443522719,0.0150021883925531,5.42211379718487,73.661242955944,0.107768996178478,5.42211379718487,0.478768510304058,NA
"C","C1",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.938805,0.0020041106115767,0.94325,0.899425,0.9108,0.94,1,0.02,0.000440000000000001,0.039685,0.407765390242664,0.909735892069375,0.0165889095238933,0.020041106115767,5.32932532028717,70.8077117844627,0.104729381851932,5.32932532028717,0.449525124118234,NA
"A","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.94152,0.00182542260223973,0.94325,0.90895,0.91495,0.99,1,0.02,2.50000000000006e-05,0.04157,0.196874285283685,0.926187184972575,0.0183949378192408,0.0182542260223973,6.19296976058245,71.5899427369018,0.10675308074319,6.19296976058245,0.53393076938583,NA
"B","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.949675,0.00143863317216044,0.9515,0.927425,0.93045,1,1,0.02,0,0.049675,0.346912331761641,0.920743204407702,0.0165095625794767,0.0143863317216044,6.68354708735368,71.6738493114079,0.113076493447915,6.68354708735368,0.589865739870838,NA
"C","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.92776,0.00231141742336829,0.92775,0.890425,0.8995,0.89,0.97,0.02,0.00153,0.03082,0.439658843474286,0.897218724037176,0.0202758751009941,0.0231141742336829,6.97736941740125,68.908061227769,0.104197621777492,6.97736941740125,0.588208440240524,NA
"A","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.95091,0.00170040666556057,0.9515,0.921975,0.92945,1,1,0.02,0,0.05091,0.182971317705327,0.937010810823331,0.0163234354672828,0.0170040666556057,4.59763239180821,74.4762355594038,0.103103652375303,4.59763239180821,0.406295858680267,NA
"B","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.948955,0.00144421687212737,0.951,0.923425,0.9284,1,1,0.02,0,0.048955,0.333223769823532,0.930163817424822,0.0138429138054913,0.0144421687212737,5.33156484661792,72.5839801263467,0.106677122610524,5.33156484661792,0.456694511287325,NA
"C","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.93897,0.00200865325001302,0.94175,0.901475,0.9149,0.96,0.99,0.02,0.000690000000000003,0.04035,0.403747409485302,0.910013847951182,0.0177080704080303,0.0200865325001302,5.10614100320311,70.8836131760619,0.108989771735733,5.10614100320311,0.434065220827765,NA
"A","C1",300,0.4,"weibull_cox","Clip-IPCW",100,0.92299,0.00291168821868487,0.92525,0.870475,0.8862,0.81,0.93,0.02,0.00418,0.03135,0.237981584363234,0.904579097185377,0.0326095666696729,0.0291168821868487,2.10537183096003,67.9077087780945,0.111327269336943,2.10537183096003,0.804095153725495,NA
"B","C1",300,0.4,"weibull_cox","Clip-IPCW",100,0.91899,0.00264540749376742,0.922,0.86995,0.8826,0.79,0.9,0.02,0.00388000000000001,0.02675,0.41583092352467,0.885306029564708,0.0258845533283868,0.0264540749376742,2.13506276191206,67.2345975536341,0.111149557665813,2.13511986475672,0.813909653589861,NA
