"rep","n","setting","mech","cens","backend","method","fit_ok","error_msg","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
11,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.01,0.998,0,0.098,0.124246331283429,0.116487638792129,-2.150503012884,0.994,2516.93804168462,169.218868911577,1.84390815093086,11.3885353919479,NA,NA,NA,NA
11,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.05,0.968,0,0.0679999999999999,0.300484474997081,0.281720406747905,-1.26737306179347,0.94,4.78639686081179,5.81967523984909,71.9398980258137,1.53163073543391,0.126315789473684,4.78639686081179,0.822450852246509,NA
11,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.9155,0,0.0155,0.435204411740299,0.414917930788757,-0.889438343809966,0.85,NA,NA,NA,NA,NA,NA,NA,NA
12,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,16.1535582794257,16.2372930449206,60.6184992061297,1.72382393706534,NA,NA,NA,NA
12,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,4.31865529690957,4.80022765933216,82.1771564688956,1.38872434054931,0.1,4.31865529690957,0.899677182708956,NA
12,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,16.1535582794257,16.2372930449206,60.6184992061297,1.72382393706534,NA,NA,NA,NA
12,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.13,0.898,0.002,0.002,0.501543465325443,0.459863292228807,-0.762555448291362,0.848,4.31865529690957,4.80022765933216,82.1771564688956,1.38872434054931,0.1,4.31865529690957,0.899677182708956,NA
12,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.932,0,0.032,0.426448959862939,0.392726713650234,-0.922265091494286,0.89,NA,NA,NA,NA,NA,NA,NA,NA
13,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.09,0.955,0,0.0549999999999999,0.345989369665155,0.327255091065435,-1.11431564043865,0.91,17.0462521080597,19.5687179612124,47.6493441828535,2.01337671786576,NA,NA,NA,NA
13,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.08,0.9645,0,0.0645,0.321899997796195,0.304470085872024,-1.18648276005476,0.928,3.9749865925105,5.40678585793288,80.1185932577871,1.41559491253506,0.0638297872340425,3.9749865925105,0.735184765395946,NA
13,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.01,1,0,0.1,0.0931784255213223,0.0881330954151139,-2.42620748244144,1,17.0462521080597,19.5687179612124,47.6493441828535,2.01337671786576,NA,NA,NA,NA
13,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.08,0.9645,0,0.0645,0.321899997796195,0.304470085872024,-1.18648276005476,0.928,3.9749865925105,5.40678585793288,80.1185932577871,1.41559491253506,0.0638297872340425,3.9749865925105,0.735184765395946,NA
13,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.946,0,0.0459999999999999,0.368996108265233,0.349204348400229,-1.04964280883124,0.888,NA,NA,NA,NA,NA,NA,NA,NA
14,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.11,0.924,0,0.024,0.440714404129627,0.409946255507843,-0.906847211383711,0.874,36.914413029783,36.4599490041586,28.2983568104654,2.74086834885953,NA,NA,NA,NA
14,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.1,0.9355,0,0.0355,0.415996224399154,0.386953757126744,-0.964568083100938,0.886,4.01587725778894,5.13279723021461,81.6374034255832,1.39568813300176,0.0729166666666667,4.01587725778894,0.782395461513493,NA
14,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.11,0.924,0,0.024,0.440714404129627,0.409946255507843,-0.906847211383711,0.874,36.914413029783,36.4599490041586,28.2983568104654,2.74086834885953,NA,NA,NA,NA
14,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.1,0.9355,0,0.0355,0.415996224399154,0.386953757126744,-0.964568083100938,0.886,4.01587725778894,5.13279723021461,81.6374034255832,1.39568813300176,0.0729166666666667,4.01587725778894,0.782395461513493,NA
14,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.936,0,0.036,0.408968606544936,0.386953757126744,-0.972764824500717,0.886,NA,NA,NA,NA,NA,NA,NA,NA
15,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.49,0.566,0.334,0.334,1.15308308637796,1.08811879891769,0.0901144462788801,0.398,4399.7329642493,206.572457567267,1.3383605029846,13.3817041644928,NA,NA,NA,NA
15,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.11,0.9195,0,0.0195,0.449799070225575,0.424457551957987,-0.851279159993913,0.85,3.87222084671116,4.94624091150598,75.1484552095964,1.48420247770112,0.172043010752688,3.87222084671116,0.782861351881097,NA
15,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.01,0.999,0,0.099,0.120735644573192,0.113933441667423,-2.16647673248988,0.998,4399.7329642493,206.572457567267,1.3383605029846,13.3817041644928,NA,NA,NA,NA
15,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.11,0.9195,0,0.0195,0.449799070225575,0.424457551957987,-0.851279159993913,0.85,3.87222084671116,4.94624091150598,75.1484552095964,1.48420247770112,0.172043010752688,3.87222084671116,0.782861351881097,NA
15,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.933,0,0.033,0.419280685470343,0.401832607788806,-0.915343466712243,0.872,NA,NA,NA,NA,NA,NA,NA,NA
16,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.12,0.9155,0,0.0155,0.486311861067532,0.426298824014137,-0.842466065773502,0.892,12.7340086853674,15.3500685507318,50.667222758275,1.93711776145656,NA,NA,NA,NA
16,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.09,0.9435,0,0.0435,0.409820409615657,0.359246756376945,-1.01359713490916,0.928,3.60959857421191,5.11402165282362,75.7470466058937,1.47563997550086,0.0804597701149425,3.60959857421191,0.705823873901458,NA
16,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.12,0.9155,0,0.0155,0.486311861067532,0.426298824014137,-0.842466065773502,0.892,12.7340086853674,15.3500685507318,50.667222758275,1.93711776145656,NA,NA,NA,NA
16,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.11,0.9255,0,0.0255,0.461635594677577,0.404667718163654,-0.894540349577897,0.908,3.60959857421191,5.11402165282362,75.7470466058937,1.47563997550086,0.0804597701149425,3.60959857421191,0.705823873901458,NA
16,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.9325,0,0.0325,0.43412660291097,0.382355690975927,-0.952877119693952,0.914,NA,NA,NA,NA,NA,NA,NA,NA
17,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.04,0.9925,0,0.0925,0.233885841734954,0.214233808943708,-1.54195197192292,0.988,23.0455625878117,24.1700577424643,36.3994972023762,2.37000030087202,NA,NA,NA,NA
17,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.08,0.966,0,0.0659999999999999,0.355871853178979,0.325970063159213,-1.12221440933731,0.953422053231939,4.90112443194397,6.14393482593847,74.297039622679,1.49653214336135,0.0520833333333333,4.90112443194397,0.797717516672279,NA
17,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.07,0.9735,0,0.0735,0.327982133755321,0.300423750572782,-1.2038259757643,0.963878326996198,23.0455625878117,24.1700577424643,36.3994972023762,2.37000030087202,NA,NA,NA,NA
17,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.09,0.958,0,0.0579999999999999,0.382586759904768,0.35044027555423,-1.0498296615802,0.942965779467681,4.90112443194397,6.14393482593847,74.297039622679,1.49653214336135,0.0520833333333333,4.90112443194397,0.797717516672279,NA
17,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.952,0,0.0519999999999999,0.402092070865156,0.374017794143601,-0.992055066107879,0.934,NA,NA,NA,NA,NA,NA,NA,NA
18,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.09,0.929,0,0.029,0.442444979967313,0.40192595033922,-0.897875996956117,0.878,125.544642584855,82.5533381068826,7.66058551587076,5.51870440906553,NA,NA,NA,NA
18,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.08,0.9415,0,0.0415,0.414017782450711,0.376102110325972,-0.964283188934073,0.898,3.03849695260287,4.0647125184289,85.8410476883467,1.34289958826391,0.153061224489796,3.03849695260287,0.747530591358357,NA
18,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.01,0.9995,0,0.0995,0.132307832048589,0.120191105202232,-2.10506084608984,0.998,125.544642584855,82.5533381068826,7.66058551587076,5.51870440906553,NA,NA,NA,NA
18,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.08,0.9415,0,0.0415,0.414017782450711,0.376102110325972,-0.964283188934073,0.898,3.03849695260287,4.0647125184289,85.8410476883467,1.34289958826391,0.153061224489796,3.03849695260287,0.747530591358357,NA
18,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.915,0,0.015,0.455343431963076,0.423367027568452,-0.858290605595025,0.852,NA,NA,NA,NA,NA,NA,NA,NA
19,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.09,0.943,0,0.0429999999999999,0.402410863944831,0.362233818277686,-1.02429224327461,0.918,8.72762523644895,10.9456406177119,63.2102460081181,1.67587443449836,NA,NA,NA,NA
19,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.09,0.943,0,0.0429999999999999,0.402410863944831,0.362233818277686,-1.02429224327461,0.918,3.83510461525491,5.31268349793827,78.3066035691256,1.43997057776966,0.0957446808510638,3.83510461525491,0.721877111019925,NA
19,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.1,0.9295,0,0.0295,0.428433104822578,0.385657976315776,-0.961631248486323,0.902,8.72762523644895,10.9456406177119,63.2102460081181,1.67587443449836,NA,NA,NA,NA
19,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.09,0.943,0,0.0429999999999999,0.402410863944831,0.362233818277686,-1.02429224327461,0.918,3.83510461525491,5.31268349793827,78.3066035691256,1.43997057776966,0.0957446808510638,3.83510461525491,0.721877111019925,NA
19,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.931,0,0.031,0.421253896059386,0.385657976315776,-0.96878118352536,0.902,NA,NA,NA,NA,NA,NA,NA,NA
