method,tau_hat,calibration_moment,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,pac_success,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
H-AIPCW,0.05,0.016123255280956927,Inf,0.9221691354337644,0.6039784796708582,0.9069767441860465,0,0.02216913543376442,1,1.0649914793894788,0.773107788931293,-0.13751811589870275,1.0915623877966358,0.7322618583659305,7.486581508223469,12.505603031621218,0.9170851105373315,1.5996534340233892,48.25156049610661,NA,0.133,7,686,343,171,172,146,75,78,0.5465116279069767
Clip-AIPCW,0.05,0.008911596882752826,1.5107958197864106,0.9221691354337644,0.6039784796708582,0.9069767441860465,0,0.02216913543376442,1,1.0649914793894788,0.773107788931293,-0.13751811589870275,1.0915623877966358,0.7322618583659305,1.5107958197864106,2.9612957278057506,0.34889567210988814,1.1577740113634187,73.3086967576281,0.10666666666666667,0.1349999999999998,7,686,343,171,172,146,75,78,0.5465116279069767
Naive-Y,0.06999999999999999,0.012280701754385942,Inf,0.9167145539438788,0.5326208597387238,0.877906976744186,0,0.016714553943878774,1,1.1739322015492162,0.8527986835916643,-0.03892373364477808,1.1059542196902752,0.8070087342838237,1,1,0,0,171,NA,0.051000000000000156,8,686,343,171,172,159,72,68,0.6046511627906976
CC,0.09,0.002777777777777768,Inf,0.884614803778712,0.5139705651003166,0.8546511627906976,0.015385196221287978,0.015385196221287978,0,1.3905945953482959,1.022857748431468,0.1410104457851279,1.2188989850537102,0.8070087342838237,1,1,0.2452012383900929,1.1760477181195148,72,NA,0.04800000000000004,8,686,343,171,172,159,72,68,0.6046511627906976
HT-IPCW,0.01,-0.10460440283498673,Inf,1,0.5810105855168203,0.9767441860465116,0,0.09999999999999998,1,0.3344023464902385,0.2162984669320414,-1.4028120431569244,0.6676682230363304,1,43.812683731385064,43.812683731385064,11.479580839671156,4.259708030948787,8.981563808750286,NA,0.22100000000000009,8,686,343,171,172,159,72,68,0.6046511627906976
H-IPCW,0.12,0.013597244944477616,Inf,0.7686786093749364,0.44661040890718695,0.7848837209302325,0.13132139062506365,0.13132139062506365,0,1.6907673523881948,1.2631984142505726,0.34920304972205,1.3628196971246866,0.5709688838770146,43.812683731385064,55.082884400598026,11.479580839671156,4.259708030948787,8.981563808750286,NA,0.06099999999999994,8,686,343,171,172,159,72,68,0.6046511627906976
Stab-IPCW,0.09,0.002522215986283028,Inf,0.884614803778712,0.5139705651003166,0.8546511627906976,0.015385196221287978,0.015385196221287978,0,1.3905945953482959,1.022857748431468,0.1410104457851279,1.2188989850537102,0.8070087342838237,1.4667635621671375,3.503042680347647,0.24572895964726835,1.1838958198935912,71.44609671216239,NA,0.05799999999999983,8,686,343,171,172,159,72,68,0.6046511627906976
Clip-IPCW,0.09,0.015620043182907996,1.7078436632479503,0.884614803778712,0.5139705651003166,0.8546511627906976,0.015385196221287978,0.015385196221287978,0,1.3905945953482959,1.022857748431468,0.1410104457851279,1.2188989850537102,0.8070087342838237,1.7078436632479503,3.3080223775393964,0.38879834979248107,1.207765257427979,69.7911746833576,0.1111111111111111,0.06899999999999995,8,686,343,171,172,159,72,68,0.6046511627906976
H-AIPCW,0.01,-0.227242106438596,Inf,1,0.5810105855168203,0.9767441860465116,0,0.09999999999999998,1,0.3344023464902385,0.2162984669320414,-1.4028120431569244,0.6676682230363304,1,43.812683731385064,55.082884400598026,11.479580839671156,4.259708030948787,8.981563808750286,NA,0.13000000000000078,8,686,343,171,172,159,72,68,0.6046511627906976
Clip-AIPCW,0.09,0.004563446759059361,1.7078436632479503,0.884614803778712,0.5139705651003166,0.8546511627906976,0.015385196221287978,0.015385196221287978,0,1.3905945953482959,1.022857748431468,0.1410104457851279,1.2188989850537102,0.8070087342838237,1.7078436632479503,3.3080223775393964,0.38879834979248107,1.207765257427979,69.7911746833576,0.1111111111111111,0.1349999999999998,8,686,343,171,172,159,72,68,0.6046511627906976
Naive-Y,0.08,0.018128654970760213,Inf,0.9438359476367346,0.5515440443975247,0.9127906976744186,0,0.043835947636734596,1,0.9976517040251052,0.8645559202625739,-0.1015664326553358,0.5437212289797545,0.3095018219955594,1,1,0,0,171,NA,0.04800000000000004,9,686,343,171,172,158,67,74,0.5697674418604651
CC,0.08,0.055223880597014885,Inf,0.9438359476367346,0.5515440443975247,0.9127906976744186,0,0.043835947636734596,1,0.9976517040251052,0.8645559202625739,-0.1015664326553358,0.5437212289797545,0.3095018219955594,1,1,0.23969728242174063,1.2495477671845348,67,NA,0.04999999999999982,9,686,343,171,172,158,67,74,0.5697674418604651
HT-IPCW,0.01,-0.40416412495201276,Inf,1,0.5843643122287645,0.9825581395348837,0,0.09999999999999998,1,0.19878440397270628,0.17226476195759155,-1.714749813787886,0.10833770943704821,1,3.6229361255553028,3.6229361255553028,0.45544091516426344,1.3610625229994195,60.17613851997567,NA,0.22200000000000042,9,686,343,171,172,158,67,74,0.5697674418604651
