"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"B","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.95009,0.00252165750363854,0.949,0.98,0.00072,0.05153,0.332826945829101,0.927662145115879,0.0261665219065673,0.0252165750363854,5.85754661149361,35.4647963170024,0.107741262378262
"C","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.928355,0.0097983334364224,0.94625,0.8,0.012295,0.052945,0.387774349852725,0.895224713949736,0.0291791748071162,0.097983334364224,5.69461311418798,35.069295042589,0.106926403837494
"A","C1",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.948075,0.00200913789994866,0.95025,0.97,5.00000000000012e-05,0.048175,0.183869557237781,0.933337981652727,0.0182574185835055,0.0200913789994866,4.83169585227273,73.5367070610589,0.103310836160122
"B","C1",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.944525,0.00157508016470671,0.94725,0.98,0.00019,0.044905,0.347597199609675,0.924495103256463,0.0138808057286588,0.0157508016470671,5.67734247176281,72.2879092296866,0.103460114698044
"C","C1",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.9375,0.00228226584203886,0.943,0.93,0.00108,0.03966,0.407202183672371,0.908151589259699,0.0177442550099627,0.0228226584203886,5.36461058084264,70.3371190175803,0.103487924039094
"A","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.940585,0.00190644911611174,0.9435,0.98,3.00000000000011e-05,0.040645,0.197507927574962,0.925204503774739,0.0200954791639384,0.0190644911611174,6.37176333506036,70.5006659198636,0.1034581299668
"B","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.94949,0.00148528098215778,0.95025,1,0,0.04949,0.345798082502454,0.916878337492081,0.0210137040422615,0.0148528098215778,7.39880661478002,69.4550520301501,0.104279260834171
"C","C2",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.927375,0.00245907282149475,0.92975,0.88,0.00207,0.031515,0.437415540170618,0.896681208509225,0.0223405687058546,0.0245907282149475,7.10942976202838,68.2596180157725,0.103740191925352
"A","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.950255,0.00178069749981814,0.95225,1,0,0.050255,0.181097193494007,0.936500803159459,0.0169503136051558,0.0178069749981814,4.67102686255472,73.6345848314614,0.103706115558498
"B","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.9484,0.00153313569213721,0.951,1,0,0.0484,0.338130736654931,0.929443301898198,0.0139156913104044,0.0153313569213721,5.49415666839283,71.5002663710532,0.103648877958428
"C","C3",1200,0.8,"weibull_cox","Clip-AIPCW",100,0.93908,0.0020934809830191,0.94175,0.97,0.000620000000000002,0.04032,0.409857848888284,0.909814688792023,0.018348753845337,0.020934809830191,5.46413985640387,69.0583964444615,0.103400279797361
"A","C1",300,0.4,"weibull_cox","Clip-IPCW",100,0.922535,0.00303622285783245,0.925,0.8,0.00468,0.031895,0.237981584363234,0.904090302925673,0.0331814722550115,0.0303622285783245,2.18668848282304,67.1202822135386,0.105144843331884
"B","C1",300,0.4,"weibull_cox","Clip-IPCW",100,0.917705,0.0028096073901648,0.922,0.76,0.00506000000000001,0.027825,0.415433252352622,0.883591152336789,0.0264145276832139,0.0280960739016481,2.21324978105635,66.5873115511321,0.104908517066304
"C","C1",300,0.4,"weibull_cox","Clip-IPCW",100,0.91828,0.00289058310848706,0.92125,0.78,0.00534000000000001,0.02896,0.460148500703161,0.883692204712312,0.0346847272301557,0.0289058310848706,2.23642219508463,66.3947834441826,0.105348466888782
"A","C2",300,0.4,"weibull_cox","Clip-IPCW",100,0.91841,0.00301836449793994,0.9205,0.76,0.00577000000000001,0.02995,0.241830718263827,0.898036216028334,0.0336798653995727,0.0301836449793994,2.35736573183614,66.9022994088682,0.104314108464064
"B","C2",300,0.4,"weibull_cox","Clip-IPCW",100,0.922425,0.00255821488226427,0.92075,0.8,0.00266500000000001,0.027755,0.417875434036424,0.886029400510242,0.0286391693350561,0.0255821488226427,2.46334733284064,65.5515862030653,0.105090423168488
"C","C2",300,0.4,"weibull_cox","Clip-IPCW",100,0.915595,0.00303605185373799,0.91825,0.74,0.00644500000000001,0.028485,0.458584270090845,0.880931524806431,0.036292303772719,0.0303605185373799,2.25490096153519,66.8237236004866,0.104676467383811
"A","C3",300,0.4,"weibull_cox","Clip-IPCW",100,0.920875,0.00305591308743881,0.9245,0.8,0.00507000000000001,0.031015,0.239402750497186,0.902199933742909,0.0335622442995733,0.0305591308743881,2.24340009906182,66.8067236619016,0.10463985739656
"B","C3",300,0.4,"weibull_cox","Clip-IPCW",100,0.916225,0.00296489030066029,0.918,0.71,0.00618500000000001,0.028595,0.411969056599234,0.880122276955845,0.0265558302677985,0.0296489030066029,2.15619590778218,66.6077664849702,0.104650351876268
"C","C3",300,0.4,"weibull_cox","Clip-IPCW",100,0.917515,0.00316686167661107,0.9205,0.74,0.006645,0.030805,0.45803027667275,0.882299906228394,0.0369274472937998,0.0316686167661107,2.22968718471568,66.1769291535257,0.104361084034126
"A","C1",600,0.4,"weibull_cox","Clip-IPCW",100,0.917615,0.0021857071874089,0.91825,0.81,0.00281500000000001,0.023245,0.250870339218795,0.901731456835463,0.0230624974336863,0.021857071874089,2.10305959698073,134.385753572708,0.102406361821208
"B","C1",600,0.4,"weibull_cox","Clip-IPCW",100,0.922445,0.00208983706048915,0.91875,0.84,0.00135500000000001,0.025155,0.401871882241083,0.892634110797255,0.0208939119256198,0.0208983706048915,2.18234323613487,133.384208345629,0.102357990425152
"C","C1",600,0.4,"weibull_cox","Clip-IPCW",100,0.91883,0.00263231875353309,0.923,0.78,0.00445000000000001,0.02773,0.465687189012423,0.888185272378907,0.0252412601135762,0.0263231875353309,2.17627873126488,132.576667826559,0.10228610874429
"A","C2",600,0.4,"weibull_cox","Clip-IPCW",100,0.911915,0.00202697783446542,0.9125,0.72,0.00335500000000001,0.018625,0.261044087128176,0.895059172233298,0.0224679345024878,0.0202697783446542,2.32683851461657,132.915515522338,0.102249412459313
"B","C2",600,0.4,"weibull_cox","Clip-IPCW",100,0.92239,0.00232370937350721,0.924,0.82,0.00234000000000001,0.02707,0.412219500559502,0.884217195250378,0.0218479594775653,0.0232370937350721,2.3623391275742,131.762144116582,0.102649797663256
"C","C2",600,0.4,"weibull_cox","Clip-IPCW",100,0.91597,0.002474402488838,0.919,0.77,0.00427000000000001,0.02451,0.480587979521493,0.884798452619903,0.0240159879406964,0.02474402488838,2.23142740330477,133.677337770003,0.102231831138411
"A","C3",600,0.4,"weibull_cox","Clip-IPCW",100,0.916505,0.00230739363872756,0.91625,0.74,0.00347500000000001,0.023455,0.252687395455516,0.900557990879709,0.0244536254567661,0.0230739363872756,2.11110251199992,134.253205495267,0.102460527836348
"B","C3",600,0.4,"weibull_cox","Clip-IPCW",100,0.920265,0.00217866671071177,0.92075,0.84,0.00222,0.024705,0.407526634849638,0.889033818952765,0.0213605413618833,0.0217866671071177,2.15993098489465,132.430528010367,0.102236928691031
"C","C3",600,0.4,"weibull_cox","Clip-IPCW",100,0.916155,0.00271975280182415,0.9205,0.78,0.00561,0.027375,0.465117448681779,0.883844684111572,0.0259026928127076,0.0271975280182415,2.16135314592549,132.236873923331,0.102157709699326
"A","C1",1200,0.4,"weibull_cox","Clip-IPCW",100,0.92165,0.00166370190851728,0.92475,0.89,0.000760000000000004,0.02317,0.244378677084376,0.90723775264999,0.0167886445509632,0.0166370190851728,2.15247066549788,268.800583158529,0.101113086874001
"B","C1",1200,0.4,"weibull_cox","Clip-IPCW",100,0.921065,0.00160996980648016,0.9205,0.92,0.000935000000000004,0.022935,0.416446842890095,0.896337741815988,0.0146321908852027,0.0160996980648016,2.19126185193145,266.056397038352,0.101331874254741
"C","C1",1200,0.4,"weibull_cox","Clip-IPCW",100,0.920045,0.00167087491446786,0.9205,0.86,0.000760000000000005,0.021565,0.471095362247328,0.8868612713188,0.017214041719574,0.0167087491446786,2.18506372027648,269.014937994975,0.101064339845035
"A","C2",1200,0.4,"weibull_cox","Clip-IPCW",100,0.919215,0.00171579493900853,0.91975,0.86,0.00131000000000001,0.021835,0.247274003445741,0.90456535026684,0.017389187398606,0.0171579493900853,2.28849385201098,267.423301762284,0.101396796589786
"B","C2",1200,0.4,"weibull_cox","Clip-IPCW",100,0.92278,0.00144229614913796,0.9225,0.95,0.000325000000000002,0.02343,0.416864297736049,0.884213073171636,0.0142076946004123,0.0144229614913796,2.39680189253844,264.301909902325,0.101347220978759
"C","C2",1200,0.4,"weibull_cox","Clip-IPCW",100,0.91646,0.00158785924114733,0.916,0.84,0.001215,0.01889,0.477793609747847,0.8837302125306,0.0168606888436632,0.0158785924114733,2.21735095414161,269.118247172505,0.101324255866387
"A","C3",1200,0.4,"weibull_cox","Clip-IPCW",100,0.922125,0.00171797353903024,0.922,0.9,0.000725000000000003,0.023575,0.243755070792732,0.907806709620247,0.0173368294842412,0.0171797353903024,2.12144055452693,269.135083876102,0.101238438841361
"B","C3",1200,0.4,"weibull_cox","Clip-IPCW",100,0.919005,0.00178038548487328,0.9205,0.86,0.00142,0.021845,0.415392914895853,0.894640829821617,0.0151127078776088,0.0178038548487328,2.20686365668165,265.760053983584,0.101210872234315
"C","C3",1200,0.4,"weibull_cox","Clip-IPCW",100,0.917245,0.00176322556524666,0.91775,0.83,0.00176500000000001,0.020775,0.473706132482171,0.883069544437044,0.0185807003162535,0.0176322556524666,2.14907499363735,268.979823540921,0.10115572239193
"A","C1",300,0.6,"weibull_cox","Clip-IPCW",100,0.929295,0.00347748236312689,0.9325,0.84,0.00483,0.038955,0.222860349024967,0.909144311906801,0.0395350502974285,0.0347748236312689,3.21240736086079,41.7679425290077,0.107753050049756
