method,tau_hat,calibration_moment,feasible_found,boundary_fallback,pac_success_nominal,pac_success_tol,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
Clip-AIPCW,0.05,0.012424098846175468,TRUE,FALSE,1,1,1.9904988562285046,0.9248754382998519,0.6205084908732696,0.9069767441860465,0,0.024875438299851838,1.085905061236014,0.773107788931293,-0.13537661234384216,1.248750012331388,0.7471412235059386,1.9904988562285046,3.7891692975699387,0.38604753643354506,1.1827759085884126,71.52484003811547,0.06666666666666667,0.2839999999999989,7,686,343,171,172,146,75,78,0.5465116279069767
Naive-Y,0.06999999999999999,0.012280701754385942,TRUE,FALSE,1,1,Inf,0.9165116790093341,0.5176625607844415,0.877906976744186,0,0.016511679009334035,1.3220184057471063,0.8527986835916643,-0.030841491502576677,2.676123572807132,0.803234335598301,1,1,0,0,171,NA,0.08099999999999952,8,686,343,171,172,159,72,68,0.6046511627906976
CC,0.09,0.002777777777777768,TRUE,FALSE,0,1,Inf,0.8834336723774451,0.49897949758854526,0.8546511627906976,0.016566327622554944,0.016566327622554944,1.5856459395461733,1.022857748431468,0.1509907016589632,3.209777154764635,0.803234335598301,1,1,0.2452012383900929,1.1760477181195148,72,NA,0.06300000000000239,8,686,343,171,172,159,72,68,0.6046511627906976
HT-IPCW,0.01,-0.10460440283498673,FALSE,TRUE,1,1,Inf,1,0.564818291616303,0.9767441860465116,0,0.09999999999999998,0.3353083909730318,0.2162984669320414,-1.40270575604111,0.6787550652412121,1,43.812683731385064,43.812683731385064,11.479580839671156,4.259708030948787,8.981563808750286,NA,0.40600000000000236,8,686,343,171,172,159,72,68,0.6046511627906976
H-IPCW,0.12,0.013597244944477616,TRUE,FALSE,0,0,Inf,0.7648669395254217,0.43201083809653884,0.7848837209302325,0.1351330604745783,0.1351330604745783,1.9582248259536807,1.2631984142505726,0.36203720631534814,3.9639778045520293,0.5812749033415724,43.812683731385064,55.082884400598026,11.479580839671156,4.259708030948787,8.981563808750286,NA,0.14700000000000202,8,686,343,171,172,159,72,68,0.6046511627906976
Stab-IPCW,0.09,0.002522215986283028,TRUE,FALSE,0,1,Inf,0.8834336723774451,0.49897949758854526,0.8546511627906976,0.016566327622554944,0.016566327622554944,1.5856459395461733,1.022857748431468,0.1509907016589632,3.209777154764635,0.803234335598301,1.4667635621671375,3.503042680347647,0.24572895964726835,1.1838958198935912,71.44609671216239,NA,0.16000000000000014,8,686,343,171,172,159,72,68,0.6046511627906976
Clip-IPCW,0.09,0.016506468410341986,TRUE,FALSE,0,1,1.8715519776782679,0.8834336723774451,0.49897949758854526,0.8546511627906976,0.016566327622554944,0.016566327622554944,1.5856459395461733,1.022857748431468,0.1509907016589632,3.209777154764635,0.803234335598301,1.8715519776782679,3.5870361331971083,0.40273743060085765,1.2163116203542024,69.20940638303409,0.06944444444444445,0.1529999999999987,8,686,343,171,172,159,72,68,0.6046511627906976
H-AIPCW,0.01,-0.227242106438596,FALSE,TRUE,1,1,Inf,1,0.564818291616303,0.9767441860465116,0,0.09999999999999998,0.3353083909730318,0.2162984669320414,-1.40270575604111,0.6787550652412121,1,43.812683731385064,55.082884400598026,11.479580839671156,4.259708030948787,8.981563808750286,NA,0.31899999999999906,8,686,343,171,172,159,72,68,0.6046511627906976
Clip-AIPCW,0.09,0.004018415004379437,TRUE,FALSE,0,1,1.8715519776782679,0.8834336723774451,0.49897949758854526,0.8546511627906976,0.016566327622554944,0.016566327622554944,1.5856459395461733,1.022857748431468,0.1509907016589632,3.209777154764635,0.803234335598301,1.8715519776782679,3.5870361331971083,0.40273743060085765,1.2163116203542024,69.20940638303409,0.06944444444444445,0.3260000000000005,8,686,343,171,172,159,72,68,0.6046511627906976
Naive-Y,0.08,0.018128654970760213,TRUE,FALSE,1,1,Inf,0.9443734386975673,0.5582235784493654,0.9127906976744186,0,0.04437343869756727,0.9976517040251052,0.8645559202625739,-0.1015664326553358,0.5437212289797545,0.352153510311404,1,1,0,0,171,NA,0.1319999999999979,9,686,343,171,172,158,67,74,0.5697674418604651
CC,0.08,0.055223880597014885,TRUE,FALSE,1,1,Inf,0.9443734386975673,0.5582235784493654,0.9127906976744186,0,0.04437343869756727,0.9976517040251052,0.8645559202625739,-0.1015664326553358,0.5437212289797545,0.352153510311404,1,1,0.23969728242174063,1.2495477671845348,67,NA,0.09799999999999898,9,686,343,171,172,158,67,74,0.5697674418604651
